Time(ms),TPS,AFR
21875,1010,795
21925,1010,799
21975,1010,807
22025,1010,807
22075,1010,809
22125,1006,809
22175,1002,808
22225,1009,808
22275,1009,808
22325,1009,808
22375,1009,807
22425,1008,806
22475,1008,804
22525,1008,802
22575,1008,797
22625,1007,793
22675,1007,794
22725,1007,792
22775,1007,797
22825,1007,792
22875,1007,794
22925,1007,791
22975,1008,792
23025,1007,790
23075,1007,790
23126,1008,793
23176,1008,792
23226,1008,794
23276,1008,797
23326,1008,799
23376,1007,876
23426,1007,877
23476,1007,878
23526,1007,882
23576,1007,881
23626,1007,881
23676,1007,880
23726,1007,880
23776,1007,880
23826,1007,874
23876,1007,875
23926,1007,876
23976,1007,878
24026,1007,879
24076,1007,883
24126,1007,884
24176,1007,903
24226,1007,899
24276,1007,901
24326,1007,899
24376,1007,896
24426,1007,890
24476,1007,887
24526,1008,885
24576,1008,884
24626,1008,883
24676,1008,884
24726,1008,883
24776,1008,884
24826,1008,883
24876,1008,885
24926,1008,884
24976,1008,884
25026,1008,884
25076,1008,884
25126,1008,883
25176,1008,883
25226,1008,883
25276,1008,882
25326,1008,882
25376,1008,881
25426,1008,879
25476,1008,875
25526,1008,865
25576,1008,791
25626,1008,784
25676,1008,796
25726,1008,799
25776,1008,795
25826,1008,790
25876,1008,787
25926,1008,792
25976,1008,798
26027,1008,795
26077,1008,794
26127,1008,793
26177,1008,791
26227,1008,787
26277,1008,786
26327,1008,786
26377,1008,787
26427,1008,788
26477,1008,791
26527,1008,791
26577,1007,915
26627,1008,921
26677,1007,923
26727,1007,924
26777,1007,926
26827,1007,926
26877,1007,927
26927,1007,927
26977,1007,925
27027,1007,923
27077,1007,922
27127,1007,922
27177,1007,921
27227,1007,919
27277,1007,916
27327,1007,911
27377,1007,907
27427,1007,906
27478,1008,908
27528,1007,905
27578,1008,789
27628,1008,789
27678,1008,788
27728,1008,786
27778,1008,785
27828,1008,781
27878,1008,775
27928,1008,784
27978,1008,778
28028,1008,786
28078,1008,784
28128,1008,776
28178,1008,802
28228,1008,792
28278,1008,787
28328,1008,789
28378,1008,788
28428,1008,788
28478,1008,786
28528,1008,796
28578,1008,796
28628,1008,800
28678,1008,797
28728,1008,797
28778,1008,796
28828,1008,795
28878,1008,795
28928,1008,795
28978,1008,797
29028,1008,796
29078,1008,805
29128,1008,808
29178,1008,801
29228,1007,877
29278,1007,894
29328,1007,910
29378,1007,911
