Time(ms),TPS,AFR
1356,70,13
1406,72,15
1456,70,20
1506,69,23
1556,69,20
1606,70,22
1656,69,25
1707,70,32
1757,68,35
1807,69,41
1857,69,34
1907,67,34
1957,66,32
2007,68,31
2057,68,30
2107,69,28
2157,68,28
2207,66,29
2257,67,28
2307,67,28
2357,54,27
2407,55,28
2457,22,27
2507,32,29
2557,22,30
2607,30,49
2657,72,56
2707,16,65
2757,28,60
2807,23,11
2857,12,50
2907,12,41
2957,14,58
3007,30,52
3057,80,30
3107,91,23
3158,59,24
3208,60,28
3258,75,32
3308,71,25
3358,65,23
3408,73,38
3458,54,67
3508,47,76
3558,117,39
3608,29,40
3658,28,40
3708,58,46
3758,93,53
3808,95,51
3858,15,53
3908,158,37
3958,165,32
4008,124,22
4058,118,27
4108,119,29
4158,165,38
4208,166,32
4258,145,48
4308,126,31
4358,225,33
4408,154,31
4458,198,15
4508,244,20
4558,267,25
4608,292,33
4658,325,29
4708,358,30
4758,351,129
4808,369,134
4858,401,138
4908,365,145
4958,578,215
5008,502,148
5058,509,148
5108,542,142
5158,589,149
5208,527,148
5258,512,166
5308,477,160
5358,516,195
5408,562,206
5458,483,209
5508,551,190
5558,513,201
5608,513,206
5658,548,96
5708,499,127
5758,465,171
5808,465,240
5858,598,275
5908,585,271
5958,556,268
6008,448,241
6059,574,266
6109,633,290
6159,606,278
6209,618,284
6259,616,283
6309,586,277
6359,584,286
6409,620,286
6459,644,293
6509,648,291
6559,663,295
6609,692,305
6659,727,312
6709,758,323
6759,824,328
6809,891,302
6859,947,340
6909,976,340
6959,990,342
7009,931,349
7059,965,357
7109,997,361
7159,1000,365
7209,999,360
7259,1001,364
7309,1005,369
7359,1003,379
7409,1005,390
7459,1004,385
7510,1005,393
7560,998,377
7610,997,218
7660,1003,208
7710,1002,398
7760,1001,413
7810,994,414
7860,982,416
7910,958,407
7960,990,400
8010,1003,413
8060,1006,438
8110,1003,414
8160,998,431
8210,999,433
8260,998,432
8310,998,433
8360,996,437
8410,1000,437
8460,999,441
8510,993,444
8560,994,449
8610,988,426
8660,998,448
8710,1006,452
8760,1004,424
8810,1006,420
8860,1007,440
8910,1007,451
8960,1007,448
9010,1006,435
9060,1005,415
9110,1005,288
9160,1004,287
9210,1006,311
9260,1007,395
9310,1008,464
9360,1011,476
9410,1008,485
9460,1007,470
9510,1007,347
9560,1004,310
9610,1001,312
9660,1005,316
