Time(ms),TPS,AFR,TMP,VEL
135050,19,4,146,0
135100,19,4,146,0
135150,19,4,146,0
135200,18,5,146,0
135250,19,5,147,0
135300,19,4,146,0
135350,20,4,146,0
135400,19,4,146,0
135450,19,4,146,0
135500,19,4,147,0
135550,18,5,147,0
135600,20,4,146,0
135650,19,3,147,0
135700,19,3,147,0
135750,19,3,146,0
135800,19,4,146,0
135850,19,4,147,0
135900,19,4,147,0
135950,19,4,146,0
136000,19,4,146,0
136050,19,4,146,0
136100,19,4,146,0
136150,19,4,146,0
136200,20,5,147,0
136250,21,3,147,0
136300,20,4,146,0
136350,19,4,146,0
136400,19,3,147,0
136450,19,4,146,0
136500,18,4,147,0
136550,18,5,147,0
136600,20,3,146,0
136650,19,4,146,0
136700,19,4,146,0
136750,19,4,147,0
136800,19,4,146,0
136850,18,5,147,0
136900,18,5,147,0
136950,19,3,146,0
137000,19,3,146,0
137050,19,3,146,0
137100,19,4,146,0
137150,19,3,147,0
137200,18,5,147,0
137250,19,4,147,0
137300,18,3,146,0
137350,19,4,147,0
137400,19,4,146,0
137450,19,3,146,0
137500,18,4,147,0
137550,18,5,147,0
137600,18,3,146,0
137650,18,4,146,0
137700,19,3,146,0
137750,18,3,146,0
137800,18,4,147,0
137850,18,4,146,0
137900,19,3,147,0
137950,19,4,146,0
138000,19,4,146,0
138050,19,4,146,0
138100,18,4,147,0
138150,19,4,146,0
138200,18,5,147,0
138250,19,3,146,0
138300,18,3,146,0
138350,19,3,146,0
138400,19,4,146,0
138450,19,3,147,0
138500,18,5,147,0
138550,18,4,147,0
138600,18,3,146,0
138650,18,4,146,0
138700,18,4,147,0
138750,18,3,146,0
138800,18,4,147,0
138850,18,5,147,0
138900,18,3,147,0
138950,19,3,146,0
139000,18,4,146,0
139050,18,3,147,0
139100,18,4,146,0
139150,18,4,147,0
139200,18,5,147,0
139250,18,3,147,0
139300,18,3,146,0
139350,18,3,146,0
139400,19,3,146,0
139450,19,3,146,0
139500,18,5,146,0
139550,18,5,147,0
139600,19,3,146,0
139650,18,4,146,0
139700,19,3,146,0
139750,19,4,146,0
139800,19,3,146,0
139850,18,5,147,0
139900,18,4,147,0
139950,18,4,146,0
140000,18,3,146,0
140050,18,3,146,0
140100,18,4,146,0
140150,18,5,147,0
140200,18,4,147,0
140250,18,3,146,0
140300,18,3,146,0
140350,18,4,146,0
140400,18,3,146,0
140450,18,4,146,0
140500,18,5,146,0
140550,18,3,146,0
140600,18,3,146,0
140650,18,3,146,0
140700,18,3,146,0
140750,18,4,146,0
140800,18,6,147,0
140850,18,4,147,0
140900,18,4,146,0
140950,18,3,146,0
141000,18,4,147,0
141050,18,3,147,0
141100,18,4,146,0
141150,18,5,147,0
141200,18,3,146,0
141250,18,3,146,0
141300,18,4,146,0
141350,18,3,147,0
141400,18,4,146,0
